FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
96;Publix;Supermarket;310 Pelham Ave SW;Huntsville;430554.982783;1537428.51412;Grocery;35801;;;;"{""coordinates"": [-86.58413469234698, 34.72345636768636], ""type"": ""Point""}";34.72345636768636, -86.58413469234698
173;Rite Aid;Drugstore;6707 US 431 S Hwy SE Unit 101;Owens Cross Roads;461314.725069;1513609.35802;Drug and General Merchandise;35763;;;;"{""coordinates"": [-86.48126766580606, 34.658601172065474], ""type"": ""Point""}";34.658601172065474, -86.48126766580606
189;MinitMan;Convenience Store;6150 University Dr NW;Huntsville;402461.733851;1545448.17787;Convenience Store;35806;;;;"{""coordinates"": [-86.67783980217489, 34.74487720989949], ""type"": ""Point""}";34.74487720989949, -86.67783980217489
205;Liberty Quick Stop;Convenience Store;2955 Jordan Ln NW;Huntsville;410540.323993;1554911.41813;Convenience Store;35816;;;;"{""coordinates"": [-86.65120759475286, 34.77105964199654], ""type"": ""Point""}";34.77105964199654, -86.65120759475286
243;Family Dollar;Variety Store;2700 Winchester Rd;Huntsville;463756.624056;1573954.55393;Variety Store;35811;;;;"{""coordinates"": [-86.47442771146777, 34.824441124743196], ""type"": ""Point""}";34.824441124743196, -86.47442771146777
256;Dollar General;Variety Store;1008 Andrew Jackson Way NE;Huntsville;432951.866112;1545738.44205;Variety Store;35801;;;;"{""coordinates"": [-86.57636320996065, 34.74633613457814], ""type"": ""Point""}";34.74633613457814, -86.57636320996065
261;Dollar General;Variety Store;2420 Jordan Ln NW;Huntsville;414380.895052;1549169.32495;Variety Store;35816;;;;"{""coordinates"": [-86.63826750096594, 34.75536923052931], ""type"": ""Point""}";34.75536923052931, -86.63826750096594
267;Dollar General;Variety Store;9120 Wall Triana Hwy;Harvest;381369.619867;1586835.13611;Variety Store;35749;;;;"{""coordinates"": [-86.74929794073249, 34.85807136267312], ""type"": ""Point""}";34.85807136267312, -86.74929794073249
279;CVS;Drugstore;930 Winchester Rd NE;Huntsville;444949.993034;1564195.87988;Drug and General Merchandise;35811;;;;"{""coordinates"": [-86.53685748404301, 34.79728373369254], ""type"": ""Point""}";34.79728373369254, -86.53685748404301
288;Rite Aid;Drugstore;14450 US 231-431 N Hwy;Hazel Green;435135.746915;1616399.14391;Drug and General Merchandise;35750;;;;"{""coordinates"": [-86.57082388274442, 34.94051177912098], ""type"": ""Point""}";34.94051177912098, -86.57082388274442
